Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2025-09,FHV - High Volume,"647,819",-,"84,749","82,341","59,774",21.8,6.4,21.5,6.3,21.0,-,"9,376"
2025-09,Green,"1,589","39,207",616,588,350,17.9,3.7,17.2,3.6,16.6,78%,-
2025-09,Yellow,"138,644","3,432,772","13,691","10,199","9,026",26.6,8.8,22.9,7.6,17.8,87%,-
2025-08,FHV - Black Car,"29,876",-,"11,384","11,508","5,042",13.6,4.7,13.8,4.7,27.0,-,-
2025-08,FHV - High Volume,"621,658",-,"82,302","80,653","56,479",21.7,6.4,21.6,6.3,19.0,-,"11,006"
2025-08,FHV - Livery,"41,692",-,"9,734","9,608","5,886",19.0,5.2,19.1,5.1,19.0,-,-
2025-08,FHV - Lux Limo,981,-,"1,819","1,762",578,10.2,1.7,10.1,1.6,67.0,-,-
2025-08,Green,"1,450","36,061",605,579,336,18.0,3.6,17.3,3.6,16.0,76%,-
2025-08,Yellow,"112,842","2,658,137","13,195","9,987","8,560",26.6,8.1,23.1,7.1,16.5,85%,-
2025-07,FHV - Black Car,"34,131",-,"12,283","12,404","5,502",13.8,4.8,14.0,4.8,27.0,-,-
2025-07,FHV - High Volume,"633,966",-,"82,341","80,640","57,033",21.9,6.3,21.8,6.3,19.0,-,"11,913"
2025-07,FHV - Livery,"45,372",-,"10,274","10,236","6,206",18.8,5.3,19.0,5.2,19.0,-,-
2025-07,FHV - Lux Limo,"1,150",-,"1,963","1,891",657,10.8,1.7,10.7,1.7,70.0,-,-
2025-07,Green,"1,515","34,883",608,583,329,17.5,3.7,16.9,3.7,15.6,77%,-
2025-07,Yellow,"123,794","2,983,702","13,378","9,965","8,625",26.8,8.4,23.0,7.3,16.6,86%,-
2025-06,FHV - Black Car,"32,620",-,"11,961","11,884","5,387",13.6,4.8,13.7,4.7,29.0,-,-
2025-06,FHV - High Volume,"662,265",-,"81,148","80,495","57,314",21.4,6.4,21.5,6.4,20.0,-,"12,191"
2025-06,FHV - Livery,"43,435",-,"9,851","9,847","5,939",18.1,5.3,18.4,5.3,20.0,-,-
2025-06,FHV - Lux Limo,"1,126",-,"1,540","1,476",568,11.6,2.0,11.4,1.9,71.0,-,-
2025-06,Green,"1,602","36,883",619,596,336,16.9,3.8,16.4,3.7,15.6,76%,-
2025-06,Yellow,"142,320","3,506,998","13,309","9,946","8,781",26.5,8.9,22.9,7.7,17.0,88%,-
2025-05,FHV - Black Car,"32,769",-,"12,326","12,152","5,595",14.3,4.7,14.3,4.6,30.0,-,-
2025-05,FHV - High Volume,"680,359",-,"81,398","80,736","59,074",22.7,6.5,22.8,6.5,20.0,-,"11,581"
2025-05,FHV - Livery,"41,132",-,"10,605","10,532","6,137",18.1,5.0,18.3,5.0,21.0,-,-
2025-05,FHV - Lux Limo,"1,152",-,"1,478","1,408",560,12.3,2.0,12.1,2.0,71.0,-,-
2025-05,Green,"1,745","39,511",633,609,363,18.5,3.8,17.9,3.8,15.7,77%,-
2025-05,Yellow,"146,482","3,519,908","13,317","9,846","8,841",27.8,9.2,24.0,7.9,17.4,87%,-
2025-04,FHV - Black Car,"28,491",-,"11,046","10,855","4,869",13.5,4.6,13.5,4.6,27.0,-,-
2025-04,FHV - High Volume,"658,465",-,"80,878","80,267","58,055",21.7,6.4,21.8,6.4,19.0,-,"9,932"
2025-04,FHV - Livery,"29,799",-,"7,867","7,811","4,426",17.0,5.1,17.1,5.0,21.0,-,-
2025-04,FHV - Lux Limo,970,-,"1,306","1,272",484,11.4,2.0,11.5,1.9,63.0,-,-
2025-04,Green,"1,701","37,501",647,623,369,17.8,3.7,17.3,3.7,15.3,76%,-
2025-04,Yellow,"130,718","3,083,890","13,065","9,685","8,670",26.9,8.6,23.1,7.5,16.0,86%,-
2025-03,FHV - Black Car,"33,223",-,"11,614","11,500","5,457",14.7,4.8,14.8,4.7,26.0,-,-
2025-03,FHV - High Volume,"662,479",-,"80,637","79,950","57,956",22.5,6.4,22.6,6.3,19.0,-,"9,619"
2025-03,FHV - Livery,"39,452",-,"9,624","9,503","5,687",18.6,5.0,18.7,4.9,19.0,-,-
2025-03,FHV - Lux Limo,"1,519",-,"2,102","2,008",790,12.2,1.9,12.1,1.8,60.0,-,-
2025-03,Green,"1,624","34,953",653,626,359,17.8,3.6,17.1,3.6,14.9,75%,-
2025-03,Yellow,"132,177","3,092,309","12,663","9,504","8,454",27.6,8.7,23.8,7.5,15.3,87%,-
2025-02,FHV - Black Car,"27,100",-,"10,155","9,996","4,603",12.9,4.6,12.9,4.6,25.0,-,-
2025-02,FHV - High Volume,"690,694",-,"80,286","79,556","57,477",20.2,6.6,20.3,6.5,18.0,-,"13,562"
2025-02,FHV - Livery,"31,873",-,"8,605","8,509","4,772",15.7,4.9,15.8,4.8,19.0,-,-
2025-02,FHV - Lux Limo,"1,610",-,"2,139","2,065",825,11.2,1.9,11.2,1.9,59.0,-,-
2025-02,Green,"1,630","33,490",659,632,355,15.7,3.7,15.2,3.6,14.0,76%,-
2025-02,Yellow,"126,270","2,810,665","12,479","9,391","8,233",24.5,8.6,21.2,7.5,14.7,87%,-
